Month,Report Date,Central in Loads,National in Loads,Eastcoast in Loads,Westcoast in Loads,Central in Pounds,National in Pounds,Eastcoast in Pounds,Westcoast in Pounds
Nov-24,11/15/2024,384.32,477.27,32.48,60.47,"15,372,853","19,090,645","1,299,124","2,418,668"
Nov-24,11/8/2024,385.3,498.05,33.45,0,"15,411,893","19,922,083","1,337,950",0
Nov-24,11/1/2024,387.61,494.61,29.15,0,"15,504,385","19,784,383","1,165,974",0
Oct-24,10/25/2024,384.77,489.45,32.19,0,"15,390,926","19,578,098","1,287,597",0
Oct-24,10/18/2024,379.56,475.69,30.05,0,"15,182,441","19,027,503","1,201,971",0
Oct-24,10/11/2024,387.42,490.13,34.05,0,"15,496,861","19,605,317","1,361,876",0
Oct-24,10/4/2024,363.16,441.05,20.49,57.4,"14,526,490","17,642,006","819,677","2,295,839"
Sep-24,9/27/2024,388.88,474.38,21.52,0,"15,555,382","18,975,306","860,797",0
Sep-24,9/20/2024,371.24,466.93,28.31,0,"14,849,712","18,677,275","1,132,538",0
Sep-24,9/13/2024,383.5,495.36,31.87,0,"15,340,038","19,814,205","1,274,714",0
Sep-24,9/6/2024,335.26,427.71,30.93,0,"13,410,306","17,108,268","1,237,120",0
Aug-24,8/30/2024,372.42,474.52,35.01,0,"14,896,845","18,980,912","1,400,590",0
Aug-24,8/23/2024,369.49,463.11,23.9,0,"14,779,743","18,524,546","956,191",0
Aug-24,8/16/2024,362.07,482.93,41.14,79.73,"14,482,691","19,317,146","1,645,409","3,189,046"
Aug-24,8/9/2024,375.4,485.04,24.22,85.42,"15,015,999","19,401,769","968,906","3,416,864"
Aug-24,8/2/2024,375.93,489.58,29.79,83.86,"15,037,378","19,583,278","1,191,551","3,354,349"
Jul-24,7/26/2024,405.79,530.9,21.76,103.34,"16,231,580","21,235,847","870,525","4,133,742"
Jul-24,7/19/2024,368.07,492.12,32.05,92,"14,722,775","19,684,792","1,281,958","3,680,059"
Jul-24,7/12/2024,387.4,514.29,25.25,101.64,"15,495,997","20,571,572","1,009,904","4,065,671"
Jul-24,7/5/2024,354.7,472.79,22.62,95.46,"14,188,112","18,911,560","904,993","3,818,455"
Jun-24,6/28/2024,361.26,495.85,34.7,99.89,"14,450,319","19,833,841","1,388,107","3,995,415"
Jun-24,6/21/2024,374.73,522.99,50.64,97.62,"14,989,103","20,919,761","2,025,750","3,904,908"
Jun-24,6/14/2024,392.88,503.25,20.54,89.84,"15,715,197","20,130,166","821,567","3,593,402"
Jun-24,6/7/2024,379.39,498.53,30.82,88.32,"15,175,409","19,941,265","1,232,949","3,532,907"
May-24,5/31/2024,390.51,500.86,33.48,76.88,"15,620,427","20,034,574","1,339,089","3,075,058"
May-24,5/24/2024,369.4,494.55,36.14,89.02,"14,775,883","19,782,097","1,445,413","3,560,801"
May-24,5/17/2024,412.36,545.83,32.98,100.49,"16,494,286","21,833,063","1,319,353","4,019,424"
May-24,5/10/2024,414.54,545.87,41.8,89.53,"16,581,550","21,834,623","1,672,062","3,581,011"
May-24,5/3/2024,422.56,551.24,39.36,89.32,"16,902,220","22,049,548","1,574,496","3,572,832"
Apr-24,4/26/2024,397.2,518.8,35.69,85.91,"15,887,906","20,752,090","1,427,756","3,436,428"
Apr-24,4/19/2024,421.17,547.22,33.91,92.14,"16,846,868","21,888,668","1,356,265","3,685,535"
Apr-24,4/12/2024,398.63,534.19,38.96,96.6,"15,945,131","21,367,765","1,558,454","3,864,180"
Apr-24,4/5/2024,396.99,531.11,37.65,96.47,"15,879,704","21,244,387","1,506,073","3,858,610"
Mar-24,3/29/2024,375.15,528.2,41.54,111.5,"15,006,193","21,127,823","1,661,692","4,459,938"
Mar-24,3/22/2024,401.39,536.48,40.56,94.53,"16,055,500","21,459,154","1,622,501","3,781,153"
Mar-24,3/15/2024,379.57,520.9,46.85,94.48,"15,182,995","20,836,051","1,873,824","3,779,232"
Mar-24,3/8/2024,388.4,511.07,29.26,93.42,"15,535,959","20,442,965","1,170,295","3,736,711"
Mar-24,3/1/2024,385.96,532.91,48.92,98.03,"15,438,500","21,316,544","1,956,773","3,921,271"
Feb-24,2/23/2024,393.86,532.2,43.27,95.06,"15,754,527","21,287,882","1,730,914","3,802,441"
Feb-24,2/16/2024,404.08,546.32,48.25,93.99,"16,163,221","21,852,600","1,929,976","3,759,403"
Feb-24,2/9/2024,422.61,556.52,51.21,82.7,"16,904,357","22,260,697","2,048,271","3,308,069"
Feb-24,2/2/2024,404.49,522.59,30.18,87.91,"16,179,592","20,903,524","1,207,385","3,516,547"
Jan-24,1/26/2024,402.18,534.25,36.04,96.03,"16,087,093","21,369,858","1,441,689","3,841,076"
Jan-24,1/19/2024,450.47,597.61,34.7,112.44,"18,018,908","23,904,416","1,388,108","4,497,400"
Jan-24,1/12/2024,434.34,586.35,49.07,102.93,"17,373,796","23,453,852","1,962,998","4,117,058"
Jan-24,1/5/2024,434.87,561.72,22,104.86,"17,394,627","22,468,968","879,836","4,194,505"
Dec-23,12/29/2023,351.37,447.06,21.77,73.91,"14,054,938","17,882,251","870,742","2,956,571"
Dec-23,12/22/2023,408.36,540.53,36.77,95.4,"16,334,250","21,621,177","1,470,843","3,816,084"
Dec-23,12/15/2023,419.79,541.91,28.77,93.36,"16,791,511","21,676,435","1,150,629","3,734,295"
Dec-23,12/8/2023,449.59,580.96,36.6,94.77,"17,983,746","23,238,329","1,463,921","3,790,662"
Dec-23,12/1/2023,460.18,598.22,37.02,101.03,"18,407,266","23,928,912","1,480,605","4,041,041"
Nov-23,11/24/2023,340.42,468.11,32.38,95.31,"13,616,994","18,724,394","1,295,178","3,812,222"
